sno,battery_model,battery_type,voltage,current,capacity_ah,weight_kg,manufacturer,production_date,warranty_years
73,Model_73,Lithium Phosphate,5.62,4.36,72.93,15.92,Maker_16,2024-08-03,2
74,Model_74,Lithium Phosphate,4.97,9.06,111.12,11.47,Maker_29,2025-08-15,1
75,Model_75,Lithium Ion,6.97,3.94,80.17,9.53,Maker_51,2024-01-25,5
76,Model_76,Lithium Ion,6.56,4.95,61.55,8.05,Maker_88,2025-08-27,2
77,Model_77,Lithium Ion,3.52,8.48,64.55,12.19,Maker_22,2024-04-21,1
78,Model_78,Lithium Ion,6.64,3.40,85.22,21.34,Maker_49,2025-02-27,3
79,Model_79,Lithium Phosphate,4.89,8.42,147.76,9.04,Maker_4,2026-03-04,4
80,Model_80,Lithium Ion,3.75,3.98,81.31,22.51,Maker_42,2024-10-30,4
81,Model_81,Lithium Phosphate,5.74,7.57,128.35,8.64,Maker_65,2024-03-11,4
82,Model_82,Lithium Phosphate,6.89,5.19,126.44,23.90,Maker_46,2025-09-02,3
83,Model_83,Lithium Phosphate,4.31,1.09,133.78,13.31,Maker_53,2023-11-12,5
84,Model_84,Lithium Ion,7.14,7.80,109.83,20.97,Maker_92,2024-07-10,2
85,Model_85,Lithium Phosphate,6.86,2.04,119.09,22.61,Maker_8,2024-01-02,5
86,Model_86,Lithium Phosphate,5.91,5.38,132.48,10.54,Maker_84,2025-11-08,5
87,Model_87,Lithium Ion,4.47,2.48,69.14,6.91,Maker_77,2024-06-10,4
88,Model_88,Lithium Phosphate,3.69,2.72,139.87,20.74,Maker_21,2025-10-05,3
89,Model_89,Lithium Ion,6.07,3.83,116.83,17.67,Maker_0,2025-09-19,3
90,Model_90,Lithium Ion,3.68,10.94,60.06,20.81,Maker_39,2026-01-24,5
91,Model_91,Lithium Phosphate,6.16,3.62,99.23,12.17,Maker_39,2025-02-27,1
92,Model_92,Lithium Ion,7.54,8.21,127.21,14.49,Maker_27,2025-10-01,4
93,Model_93,Lithium Ion,3.73,4.17,100.10,15.22,Maker_30,2025-08-25,5
94,Model_94,Lithium Phosphate,3.53,5.95,110.55,21.88,Maker_15,2024-05-12,3
95,Model_95,Lithium Phosphate,5.27,5.93,120.70,16.75,Maker_58,2025-07-21,2
96,Model_96,Lithium Phosphate,6.60,4.79,128.36,12.72,Maker_98,2025-07-14,5
97,Model_97,Lithium Phosphate,5.83,1.63,111.21,24.29,Maker_10,2023-10-06,3
98,Model_98,Lithium Ion,7.07,7.34,118.01,17.34,Maker_70,2024-02-04,2
99,Model_99,Lithium Ion,6.41,9.71,99.64,12.35,Maker_22,2023-11-25,1
100,Model_100,Lithium Phosphate,5.48,9.06,85.53,6.68,Maker_65,2024-05-02,3
101,Model_101,Lithium Ion,5.21,4.56,68.76,7.44,Maker_8,2025-11-15,4
102,Model_102,Lithium Ion,5.61,4.02,132.68,15.77,Maker_35,2024-10-19,2
103,Model_103,Lithium Ion,4.85,10.31,121.25,13.12,Maker_7,2025-08-13,3
104,Model_104,Lithium Phosphate,7.12,8.13,50.50,23.92,Maker_11,2025-01-06,4
105,Model_105,Lithium Phosphate,5.30,7.71,125.96,10.00,Maker_91,2024-06-26,5
106,Model_106,Lithium Ion,4.04,10.46,122.68,21.33,Maker_20,2024-10-30,4
107,Model_107,Lithium Phosphate,6.09,10.99,136.31,6.45,Maker_61,2024-12-01,3
108,Model_108,Lithium Ion,3.75,3.58,54.96,11.32,Maker_0,2025-04-30,5
109,Model_109,Lithium Phosphate,7.48,7.49,95.51,22.39,Maker_69,2024-06-22,1
110,Model_110,Lithium Phosphate,5.33,3.54,138.45,11.07,Maker_3,2025-06-01,1
111,Model_111,Lithium Phosphate,3.52,8.22,76.89,19.22,Maker_92,2024-12-14,1
112,Model_112,Lithium Ion,6.85,10.94,101.09,12.07,Maker_60,2025-11-08,1
113,Model_113,Lithium Ion,5.88,7.13,55.95,11.00,Maker_16,2024-10-04,4
114,Model_114,Lithium Phosphate,3.01,3.50,149.49,17.19,Maker_33,2026-03-10,2
115,Model_115,Lithium Ion,5.48,1.77,147.83,10.60,Maker_60,2025-01-14,3
116,Model_116,Lithium Ion,7.07,9.81,51.68,24.64,Maker_60,2025-10-03,3
117,Model_117,Lithium Ion,5.04,7.36,139.53,22.44,Maker_8,2026-03-01,5
118,Model_118,Lithium Phosphate,4.28,1.19,133.22,19.94,Maker_15,2026-01-22,2
119,Model_119,Lithium Phosphate,7.22,3.60,141.60,18.73,Maker_71,2025-07-21,1
120,Model_120,Lithium Phosphate,6.63,5.40,79.67,12.81,Maker_78,2023-12-20,5
121,Model_121,Lithium Phosphate,6.46,7.02,97.55,13.14,Maker_2,2025-08-28,4
122,Model_122,Lithium Phosphate,6.66,5.12,137.81,8.28,Maker_8,2024-07-25,3
123,Model_123,Lithium Phosphate,3.24,2.29,83.64,24.68,Maker_14,2025-09-14,5
124,Model_124,Lithium Ion,5.36,6.47,129.42,22.75,Maker_41,2023-12-13,5
